wav_file,stratum,shard,clip_frac,silence_frac,duty,mod_std,flatness,centroid,start_ratio,end_ratio,flags,n_flags
000_hi_quality_filtered-train-00000-of-00082_r969.wav,hi_quality,filtered-train-00000-of-00082,0.0,0.0616600790513834,0.7636363636363637,10.529136657714844,0.052508704364299774,2204.6661377875566,0.6276402991236258,0.9868593906697746,,0
001_borderline_filtered-train-00000-of-00082_r166.wav,borderline,filtered-train-00000-of-00082,0.0,0.0675219446320054,0.7062795408507765,11.717306137084961,0.07993046939373016,2364.5529441992003,0.8696080403687234,1.3352203778381806,abrupt_end,1
002_long_filtered-train-00000-of-00082_r1687.wav,long,filtered-train-00000-of-00082,0.0,0.08260577568838147,0.8072531900604433,8.708133697509766,0.036786459386348724,1636.045145983076,0.7935413077118113,1.2438075044563768,,0
003_short_filtered-train-00000-of-00082_r1650.wav,short,filtered-train-00000-of-00082,0.0,0.0,0.9676470588235294,4.871401309967041,0.003751851385459304,1299.0760642019645,1.2576239920443848,0.9203616762875201,,0
004_medium_filtered-train-00000-of-00082_r462.wav,medium,filtered-train-00000-of-00082,0.0,0.053703703703703705,0.8518518518518519,9.337056159973145,0.0550907626748085,1981.5774466564242,1.0948613253244617,0.2840752392439011,,0
005_hi_quality_filtered-train-00000-of-00082_r2056.wav,hi_quality,filtered-train-00000-of-00082,0.0,0.0,0.8401332223147377,8.196478843688965,0.019882403314113617,1959.8600497611117,1.6145588142200664,0.9428044599812446,abrupt_start,1
006_borderline_filtered-train-00000-of-00082_r3066.wav,borderline,filtered-train-00000-of-00082,0.0,0.2043956043956044,0.7355311355311356,13.378006935119629,0.03430357947945595,1570.4100829925205,0.5954633849975333,0.2867845919429976,,0
007_long_filtered-train-00000-of-00082_r277.wav,long,filtered-train-00000-of-00082,0.0,0.03038487508440243,0.8055367994598245,10.945615768432617,0.02426484413444996,1564.9351237268056,0.9365286651827645,0.9742687404460529,,0
008_short_filtered-train-00000-of-00082_r898.wav,short,filtered-train-00000-of-00082,0.0,0.0,0.8922018348623854,6.256054401397705,0.04416661337018013,2943.277277231505,0.08543649705386291,1.1598154046886424,,0
009_medium_filtered-train-00000-of-00082_r902.wav,medium,filtered-train-00000-of-00082,0.0,0.11710677382319173,0.8220436280137773,10.858627319335938,0.029394980520009995,2428.4992451339167,0.19350557786213946,1.0440124184202015,,0
010_hi_quality_filtered-train-00000-of-00082_r1769.wav,hi_quality,filtered-train-00000-of-00082,0.0,0.004095563139931741,0.9201365187713311,5.803625106811523,0.04234173148870468,2367.480692951131,1.3002927777671354,0.9469292086398438,,0
